PropertyRoomTypeID|RoomType
16990|Single
17011|Single
17015|Single
17019|Single
17023|Single
17029|Single
17034|Single
17039|Single
17068|Single
17081|Single
17086|Single
17091|Single
17094|Single
17098|Single
17102|Single
17155|Single
17181|Single
17203|Single
17209|Single
17229|Single
17253|Single
17258|Single
17272|Single
17276|Single
17283|Single
17288|Single
17294|Single
17299|Single
17303|Single
17307|Single
17321|Single
17327|Single
17342|Single
17347|Single
17363|Single
17367|Single
17371|Single
17375|Single
17376|Single
17389|Single
17399|Single
17404|Single
17408|Single
17413|Single
17418|Single
17428|Single
17434|Single
17446|Single
17493|Single
17511|Single
17515|Single
17530|Single
17538|Single
17543|Single
17548|Single
17553|Single
17558|Single
17614|Single
17623|Single
17633|Single
17638|Single
17648|Single
17668|Single
17673|Single
17682|Single
17688|Single
17694|Single
17716|Single
17723|Single
17725|Single
17730|Single
17735|Single
17744|Single
17749|Single
17769|Single
17774|Single
17783|Single
17836|Single
17845|Single
17850|Single
17855|Single
17860|Single
17869|Single
17874|Single
17882|Single
17944|Single
17978|Single
17992|Single
17996|Single
18014|Single
18018|Single
18026|Single
18051|Single
18056|Single
18068|Single
18087|Single
18279|Single
18283|Single
18296|Single
18311|Single
18319|Single
18328|Single
18337|Single
18341|Single
18344|Single
18390|Single
18402|Single
18408|Single
18426|Single
18430|Single
18435|Single
18450|Single
18456|Single
18463|Single
18504|Single
18549|Single
18554|Single
18595|Single
18609|Single
18674|Single
18685|Single
18692|Single
18704|Single
18708|Single
18715|Single
18721|Single
18724|Single
18730|Single
18739|Single
18742|Single
18746|Single
18754|Single
18778|Single
18782|Single
18786|Single
18790|Single
18795|Single
18799|Single
18803|Single
18808|Single
18812|Single
18816|Single
18820|Single
18831|Single
18835|Single
18839|Single
18843|Single
18852|Single
18856|Single
18860|Single
18864|Single
18872|Single
18879|Single
18882|Single
18891|Single
18895|Single
18904|Single
18908|Single
18914|Single
18918|Single
18922|Single
18927|Single
18940|Single
18944|Single
18952|Single
18957|Single
18964|Single
18968|Single
19000|Single
19004|Single
19008|Single
19033|Single
19038|Single
19043|Single
19053|Single
19061|Single
19073|Single
19079|Single
19087|Single
19110|Single
19158|Single
19159|Single
19160|Single
19219|Single
19226|Single
19231|Single
19236|Single
19244|Single
19258|Single
19262|Single
19265|Single
19269|Single
19291|Single
19301|Single
19305|Single
19315|Single
19334|Single
19341|Single
19361|Single
19372|Single
19382|Single
19390|Single
19400|Single
19411|Single
19436|Single
19441|Single
19446|Single
19455|Single
19466|Single
19494|Single
19519|Single
19530|Single
19547|Single
19554|Single
19559|Single
19580|Single
19602|Single
19609|Single
19614|Single
19620|Single
19633|Single
19653|Single
19663|Single
19668|Single
19681|Single
19685|Single
19693|Single
19699|Single
19705|Single
19724|Single
19731|Single
19740|Single
19756|Single
19760|Single
19765|Single
19778|Single
19785|Single
19793|Single
19835|Single
19842|Single
19850|Single
19854|Single
19858|Single
19862|Single
19867|Single
19872|Single
19875|Single
19897|Single
19899|Single
19902|Single
19907|Single
19934|Single
19941|Single
19949|Single
19962|Single
19974|Single
19978|Single
19996|Single
20020|Single
20021|Single
20030|Single
20051|Single
20069|Single
20080|Single
20114|Single
20120|Single
20126|Single
20131|Single
20140|Single
20145|Single
20149|Single
20154|Single
20161|Single
20187|Single
20192|Single
20224|Single
20234|Single
20275|Single
20305|Single
20342|Single
20353|Single
20367|Single
20542|Single
20552|Single
20561|Single
20567|Single
20586|Single
20623|Single
20664|Single
20679|Single
20684|Single
20688|Single
20693|Single
20698|Single
20712|Single
20717|Single
20728|Single
20755|Single
20759|Single
20763|Single
20767|Single
20772|Single
20800|Single
20812|Single
20816|Single
20820|Single
20828|Single
20832|Single
20852|Single
20856|Single
20860|Single
20885|Single
20889|Single
20893|Single
20897|Single
20901|Single
20905|Single
20909|Single
20915|Single
20927|Single
20939|Single
20951|Single
20968|Single
20977|Single
20981|Single
20992|Single
20996|Single
21000|Single
21005|Single
21032|Single
21042|Single
21047|Single
21068|Single
21078|Single
21083|Single
21097|Single
21103|Single
21108|Single
21112|Single
21119|Single
21127|Single
21145|Single
21150|Single
21158|Single
21162|Single
21167|Single
21171|Single
21187|Single
21192|Single
21194|Single
21211|Single
21216|Single
21225|Single
21233|Single
21237|Single
21265|Single
21269|Single
21273|Single
21277|Single
21281|Single
21285|Single
21299|Single
21303|Single
21308|Single
21312|Single
21316|Single
21336|Single
21346|Single
21359|Single
21368|Single
21379|Single
21393|Single
21412|Single
21426|Single
21464|Single
21467|Single
21479|Single
21483|Single
21504|Single
21525|Single
21536|Single
21543|Single
21547|Single
21551|Single
21601|Single
21608|Single
21612|Single
21616|Single
21662|Single
21682|Single
21722|Single
21746|Single
21754|Single
21758|Single
21771|Single
21778|Single
21785|Single
21817|Single
21826|Single
21830|Single
21849|Single
21857|Single
21864|Single
21896|Single
21910|Single
21916|Single
21922|Single
21936|Single
21940|Single
21946|Single
21949|Single
21962|Single
21988|Single
21993|Single
22001|Single
22032|Single
22043|Single
22070|Single
22078|Single
22105|Single
22112|Single
22117|Single
22122|Single
22127|Single
22131|Single
22140|Single
22141|Single
22142|Single
22143|Single
22147|Single
22168|Single
22173|Single
22195|Single
22200|Single
22259|Single
22282|Single
22286|Single
22290|Single
22297|Single
22310|Single
22319|Single
22327|Single
22336|Single
22363|Single
22374|Single
22378|Single
22382|Single
22413|Single
22417|Single
22426|Single
22427|Single
22453|Single
22463|Single
22472|Single
22478|Single
22488|Single
22493|Single
22508|Single
22522|Single
22536|Single
22556|Single
22560|Single
22572|Single
22577|Single
22587|Single
22601|Single
22610|Single
22616|Single
22629|Single
22635|Single
22639|Single
22640|Single
22658|Single
22663|Single
22668|Single
22687|Single
22722|Single
22723|Single
22744|Single
22849|Single
22901|Single
22909|Single
22915|Single
22924|Single
22929|Single
22933|Single
22953|Single
22977|Single
22986|Single
23001|Single
23011|Single
23018|Single
23023|Single
23060|Single
23070|Single
23075|Single
23086|Single
23096|Single
23111|Single
23120|Single
23125|Single
23136|Single
23148|Single
23268|Single
23298|Single
23435|Single
23443|Single
23451|Single
23456|Single
23489|Single
23513|Single
23514|Single
23544|Single
23570|Single
23612|Single
23637|Single
23661|Single
23669|Single
23674|Single
23695|Single
23734|Single
23739|Single
23744|Single
23778|Single
23837|Single
23838|Single
